 
,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
92,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,it Serie A,24-250,1996,24.9,7,0,0,58,39,0,7,20,39,0,0,0,241,15,32,31.9,Matches
93,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,es La Liga,31-201,1989,7.6,1,0,0,13,4,0,2,7,13,0,0,0,74,19,23,45.2,Matches
94,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,24-332,1996,2.1,1,0,0,5,2,0,0,0,1,0,0,0,23,6,0,100.0,Matches
95,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,eng Premier League,24-332,1996,26.7,6,1,0,32,12,1,3,37,19,0,1,0,284,102,33,75.6,Matches
96,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,26-007,1995,0.8,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,100.0,Matches
97,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,18-173,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
98,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,28-013,1993,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
99,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29-287,1991,10.1,0,0,0,14,5,6,4,3,2,1,0,0,45,69,56,55.2,Matches
100,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,33-016,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
101,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,30-268,1990,29.4,9,0,0,64,53,0,11,55,81,0,0,0,372,86,63,57.7,Matches
102,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,26-218,1994,27.1,4,1,0,48,34,1,6,55,38,0,0,1,354,52,28,65.0,Matches
103,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,24-211,1996,18.3,5,0,0,29,29,0,6,13,29,0,0,0,188,10,21,32.3,Matches
104,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-310,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
105,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,23-048,1998,1.5,0,0,0,2,1,1,0,0,1,0,0,0,18,10,7,58.8,Matches
