,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
116,Adil Aouchiche\Adil-Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-287,2002,17.5,35,19,9,13,13,12,42,28.6,30,338,100,29.6,61,160,117,11,1,0,10,5,40,10,0,Matches
117,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,28-323,1992,13.4,48,24,30,12,6,25,48,52.1,23,232,84,36.2,127,73,32,28,5,0,23,18,66,55,0,Matches
118,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,es La Liga,23-087,1998,0.3,0,0,0,0,0,0,1,0.0,1,6,2,33.3,1,3,2,0,0,0,0,0,0,0,0,Matches
119,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,25-210,1995,30.2,72,54,28,34,10,16,65,24.6,49,646,167,25.9,162,385,99,49,5,0,44,48,120,44,0,Matches
120,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,32-011,1989,16.6,44,28,18,20,6,15,47,31.9,32,345,117,33.9,128,178,39,32,4,0,28,23,67,25,0,Matches
121,Luiz Araújo\Luiz-Araujo,br BRA,MF,Lille,fr Ligue 1,24-330,1996,14.3,32,19,12,13,7,4,27,14.8,23,242,61,25.2,51,122,69,19,2,0,17,11,43,4,0,Matches
122,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,29-242,1991,23.5,21,15,11,9,1,3,9,33.3,6,195,67,34.4,101,84,10,35,15,0,20,28,49,130,1,Matches
123,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,22-052,1999,12.8,19,15,12,6,1,6,7,85.7,1,125,46,36.8,55,67,3,27,13,0,14,9,28,51,1,Matches
124,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,33-348,1987,26.2,44,23,27,14,3,19,41,46.3,22,193,61,31.6,86,80,27,52,9,0,43,44,88,104,0,Matches
125,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-060,1993,32.0,0,0,0,0,0,0,3,0.0,3,4,0,0.0,4,0,0,0,0,0,0,0,0,0,1,Matches
126,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,de Bundesliga,29-105,1992,1.0,4,4,2,1,1,0,0,,0,13,5,38.5,6,6,1,3,0,0,3,0,4,3,0,Matches
127,Karim Aribi\Karim-Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26-308,1994,3.3,1,0,0,1,0,0,4,0.0,4,60,14,23.3,8,26,26,2,0,0,2,0,1,4,0,Matches
128,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,22-117,1999,0.5,0,0,0,0,0,0,0,,0,5,2,40.0,0,1,4,0,0,0,0,0,0,0,0,Matches
129,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,29-029,1992,24.9,61,38,23,28,10,26,69,37.7,43,398,117,29.4,128,178,92,26,1,0,25,27,88,17,1,Matches
130,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,26-336,1994,25.7,53,39,21,27,5,20,48,41.7,28,468,163,34.8,146,241,81,36,3,1,33,37,90,60,0,Matches
131,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,de Bundesliga,20-156,2000,1.2,1,1,0,0,1,0,0,,0,18,7,38.9,1,7,10,1,0,0,1,0,1,0,0,Matches
132,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,es La Liga,19-210,2001,1.4,2,1,1,1,0,0,1,0.0,1,19,6,31.6,9,7,3,1,0,0,1,3,5,3,0,Matches
133,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-207,1994,5.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,3,Matches
134,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,it Serie A,30-255,1990,18.5,56,36,27,24,5,18,47,38.3,29,325,113,34.8,144,145,36,29,2,0,27,18,74,8,1,Matches
135,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Cagliari,it Serie A,32-140,1988,2.0,5,4,2,3,0,1,1,100.0,0,14,4,28.6,5,4,5,4,1,0,3,4,9,3,1,Matches
136,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,24-062,1997,4.3,16,5,9,6,1,6,14,42.9,8,121,24,19.8,45,58,18,11,2,0,9,4,20,10,0,Matches
137,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-304,1989,32.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,1,Matches
138,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,25-097,1996,18.3,13,10,7,6,0,4,23,17.4,19,174,41,23.6,43,83,48,17,0,0,17,14,27,8,0,Matches
139,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,20-109,2001,0.9,1,1,0,1,0,0,0,,0,25,4,16.0,11,12,2,3,0,0,3,1,2,2,0,Matches
140,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,33-270,1987,28.2,9,4,1,6,2,0,17,0.0,17,299,81,27.1,32,134,133,27,3,0,24,15,24,22,0,Matches
141,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,27-166,1993,9.2,9,7,4,3,2,4,13,30.8,9,124,32,25.8,11,66,47,7,3,0,4,7,16,2,0,Matches
142,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,21-336,1999,4.5,14,10,3,10,1,3,9,33.3,6,77,23,29.9,13,48,16,3,2,0,1,7,21,4,0,Matches
143,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,24-346,1996,7.4,24,18,13,9,2,13,24,54.2,11,75,22,29.3,34,26,15,12,1,0,11,12,36,9,0,Matches
144,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31-314,1989,22.3,16,5,8,7,1,4,19,21.1,15,277,71,25.6,52,113,112,25,2,0,23,5,21,14,0,Matches
145,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-100,1997,33.0,0,0,0,0,0,0,0,,0,4,2,50.0,4,0,0,0,0,0,0,0,0,0,0,Matches
146,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,26-241,1994,30.7,45,24,32,10,3,20,40,50.0,20,297,108,36.4,143,94,60,45,2,0,43,35,80,80,1,Matches
147,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Nantes,fr Ligue 1,23-316,1997,0.4,1,1,0,1,0,1,1,100.0,0,8,4,50.0,0,7,1,0,0,0,0,0,1,0,0,Matches
148,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,27-007,1994,19.7,39,15,20,13,6,14,28,50.0,14,256,88,34.4,108,92,56,43,7,0,36,13,52,56,0,Matches
149,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,28-125,1992,15.8,66,33,42,20,4,19,48,39.6,29,346,99,28.6,192,113,41,36,6,0,30,22,88,48,2,Matches
150,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,eng Premier League,31-297,1989,1.5,4,3,2,1,1,1,2,50.0,1,23,7,30.4,5,8,10,0,0,0,0,2,6,3,0,Matches
151,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Osasuna,es La Liga,27-081,1994,0.6,1,0,0,0,1,0,0,,0,13,1,7.7,4,4,5,2,0,0,2,0,1,0,0,Matches
152,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23-259,1997,14.3,8,6,4,4,0,1,12,8.3,11,197,74,37.6,22,96,79,14,2,0,12,4,12,4,0,Matches
153,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,de Bundesliga,19-078,2002,3.8,12,6,3,9,0,4,8,50.0,4,63,16,25.4,22,29,12,6,0,0,6,7,19,14,0,Matches
154,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,29-229,1991,21.1,47,31,7,26,14,14,41,34.1,27,613,143,23.3,127,316,170,28,2,0,26,24,71,10,0,Matches
155,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Sassuolo,it Serie A,26-169,1994,8.5,13,9,6,6,1,5,11,45.5,6,75,31,41.3,40,30,5,15,4,0,11,8,21,40,0,Matches
156,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,eng Premier League,29-246,1991,32.8,98,55,60,30,8,33,73,45.2,40,464,161,34.7,242,175,47,74,30,1,44,48,146,88,2,Matches
157,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,es La Liga,28-137,1992,1.1,3,3,1,2,0,1,1,100.0,0,13,5,38.5,2,9,2,2,0,0,2,0,3,2,0,Matches
158,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31-243,1989,20.5,40,21,18,16,6,14,25,56.0,11,288,86,29.9,127,118,43,31,6,0,25,28,68,86,1,Matches
159,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,34-339,1986,3.2,6,3,4,2,0,1,2,50.0,1,56,12,21.4,31,21,4,8,1,0,7,2,8,8,0,Matches
160,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,34-232,1986,6.8,7,6,4,2,1,1,4,25.0,3,107,23,21.5,10,39,58,4,0,0,4,2,9,1,0,Matches
161,Loïc Bade\Loic-Bade,fr FRA,DF,Lens,fr Ligue 1,21-017,2000,26.0,66,34,53,13,0,25,49,51.0,24,274,107,39.1,171,101,2,48,18,0,30,47,113,207,2,Matches
162,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,it Serie A,32-062,1989,24.4,52,38,25,21,6,16,80,20.0,64,417,110,26.4,147,207,63,54,8,0,46,76,128,45,0,Matches
163,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-075,1992,30.0,0,0,0,0,0,0,4,0.0,4,4,1,25.0,4,0,0,0,0,0,0,0,0,1,2,Matches
164,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,es La Liga,19-282,2001,1.4,1,0,0,0,1,0,2,0.0,2,27,3,11.1,3,16,8,1,0,0,1,2,3,0,0,Matches
165,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,es La Liga,21-032,2000,5.8,9,5,4,5,0,4,8,50.0,4,94,22,23.4,38,43,13,2,0,0,2,6,15,4,0,Matches
166,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,28-335,1992,15.8,14,10,1,9,4,3,8,37.5,5,245,62,25.3,19,108,118,11,0,0,11,7,21,12,0,Matches
167,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,23-262,1997,23.3,21,12,5,10,6,6,19,31.6,13,247,74,30.0,42,111,94,15,0,0,15,18,39,9,0,Matches
168,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27-016,1994,7.1,8,5,4,3,1,0,0,,0,43,16,37.2,20,22,1,13,12,0,1,17,25,38,0,Matches
169,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-126,2001,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Napoli,it Serie A,26-254,1994,18.9,67,48,24,35,8,14,28,50.0,14,306,103,33.7,103,157,46,24,3,0,21,22,89,14,0,Matches
171,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20-312,2000,17.8,41,26,25,9,7,14,24,58.3,10,177,63,35.6,58,70,49,35,2,0,33,16,57,26,0,Matches
172,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,de Bundesliga,23-020,1998,26.8,52,26,21,24,7,21,50,42.0,29,467,147,31.5,146,177,144,69,4,0,65,43,95,35,1,Matches
173,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,de Bundesliga,23-020,1998,2.0,5,2,3,2,0,0,5,0.0,5,22,6,27.3,11,9,2,5,0,0,5,4,9,5,0,Matches
174,Dilane Bakwa\Dilane-Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,18-245,2002,0.6,2,2,0,2,0,0,0,,0,16,2,12.5,5,9,2,1,0,0,1,1,3,0,0,Matches
175,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,29-248,1991,13.3,24,14,20,4,0,12,24,50.0,12,134,45,33.6,88,44,2,25,6,1,19,14,38,89,1,Matches
176,Keita Baldé\Keita-Balde,sn SEN,FW,Sampdoria,it Serie A,26-051,1995,11.2,8,6,1,5,2,3,7,42.9,4,184,33,17.9,9,82,93,7,1,0,6,3,11,5,0,Matches
177,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,28-050,1993,27.0,46,22,28,15,3,19,42,45.2,23,389,97,24.9,173,143,73,37,7,1,30,27,73,71,0,Matches
178,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,eng Premier League,31-286,1989,7.2,11,8,4,3,4,3,11,27.3,8,91,24,26.4,19,42,30,11,1,0,10,5,16,15,0,Matches
179,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,33-058,1988,12.8,23,13,12,9,2,6,17,35.3,11,139,43,30.9,56,65,18,27,4,0,23,8,31,37,0,Matches
180,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DFMF,Marseille,fr Ligue 1,22-092,1999,15.1,30,17,25,3,2,8,27,29.6,19,189,64,33.9,114,68,7,28,10,0,18,29,59,80,1,Matches
181,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Monaco,fr Ligue 1,24-115,1997,7.0,25,18,16,8,1,5,14,35.7,9,100,33,33.0,41,40,19,13,0,0,13,3,28,12,0,Matches
182,Botond Balogh\Botond-Balogh,hu HUN,DF,Parma,it Serie A,18-326,2002,1.6,5,3,5,0,0,2,3,66.7,1,30,8,26.7,23,6,1,7,3,0,4,0,5,7,0,Matches
183,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,31-003,1990,15.0,31,17,20,9,2,10,20,50.0,10,171,60,35.1,96,50,25,24,1,0,23,18,49,42,1,Matches
184,Jonathan Bamba\Jonathan-Bamba,fr FRA,MF,Lille,fr Ligue 1,25-033,1996,30.2,42,31,16,20,6,12,67,17.9,55,411,126,30.7,96,177,138,30,1,0,29,27,69,13,0,Matches
185,Robson Bambu\Robson-Bambu,br BRA,DF,Nice,fr Ligue 1,23-167,1997,11.6,20,13,16,4,0,7,13,53.8,6,101,41,40.6,60,33,8,12,8,0,4,12,32,65,0,Matches
186,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,eng Premier League,27-235,1993,30.2,22,15,5,9,8,5,24,20.8,19,521,152,29.2,30,220,271,14,8,1,6,13,35,33,0,Matches
187,Mattia Bani\Mattia-Bani,it ITA,DF,Genoa,it Serie A,27-139,1993,10.2,13,8,7,6,0,4,10,40.0,6,142,40,28.2,85,49,8,31,14,0,17,18,31,55,1,Matches
188,Mattia Bani\Mattia-Bani,it ITA,DF,Parma,it Serie A,27-139,1993,10.7,17,9,13,3,1,5,8,62.5,3,132,49,37.1,84,41,7,13,6,0,7,14,31,60,0,Matches
189,Simon Banza\Simon-Banza,fr FRA,FW,Lens,fr Ligue 1,24-258,1996,14.3,17,9,1,5,11,1,11,9.1,10,171,50,29.2,9,77,85,18,2,0,16,5,22,12,0,Matches
190,Antonín Barák\Antonin-Barak,cz CZE,MFFW,Hellas Verona,it Serie A,26-146,1994,27.2,35,26,13,14,8,10,42,23.8,32,480,134,27.9,113,240,127,42,9,0,33,14,49,33,1,Matches
191,Federico Barba\Federico-Barba,it ITA,DF,Benevento,it Serie A,27-239,1993,25.2,28,17,19,7,2,7,20,35.0,13,247,77,31.2,142,87,18,45,16,0,29,53,81,104,4,Matches
192,Danilo Barbosa\Danilo-Barbosa,br BRA,DF,Nice,fr Ligue 1,25-059,1996,2.8,5,3,4,1,0,3,7,42.9,4,20,7,35.0,11,8,1,3,1,0,2,1,6,13,1,Matches
193,Barcia\Barcia,es ESP,DF,Granada,es La Liga,20-118,2000,1.0,2,0,2,0,0,0,0,,0,12,0,0.0,7,5,0,2,1,0,1,1,3,7,0,Matches
194,Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,20-173,2000,4.8,16,11,11,5,0,7,14,50.0,7,93,34,36.6,42,41,10,12,2,0,10,6,22,18,0,Matches
195,Enis Bardhi\Enis-Bardhi,mk MKD,MFFW,Levante,es La Liga,25-300,1995,16.2,26,19,13,9,4,12,39,30.8,27,261,81,31.0,72,119,70,17,2,0,15,25,51,19,0,Matches
196,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,35-304,1985,3.0,6,4,5,1,0,2,4,50.0,2,39,9,23.1,17,19,3,4,1,0,3,3,9,14,0,Matches
197,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,it Serie A,24-080,1997,28.8,55,38,23,25,7,16,56,28.6,40,499,136,27.3,140,236,123,41,7,0,34,30,85,10,0,Matches
198,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,32-056,1989,0.3,1,1,0,1,0,0,0,,0,10,7,70.0,6,4,0,0,0,0,0,1,2,2,0,Matches
199,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,es La Liga,24-027,1997,13.1,11,7,8,2,1,5,18,27.8,13,228,59,25.9,49,107,72,12,1,0,11,18,29,12,0,Matches
200,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,eng Premier League,27-144,1993,14.5,4,0,2,2,0,2,11,18.2,9,205,48,23.4,31,118,56,17,2,0,15,4,8,7,0,Matches
201,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,27-144,1993,0.5,0,0,0,0,0,0,0,,0,5,1,20.0,2,2,1,0,0,0,0,0,0,0,0,Matches
202,Aymen Barkok\Aymen-Barkok,ma MAR,FWMF,Eint Frankfurt,de Bundesliga,22-342,1998,10.3,31,18,12,7,12,10,27,37.0,17,275,83,30.2,52,117,106,20,1,0,19,13,44,9,0,Matches
203,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,eng Premier League,31-180,1989,14.4,14,6,2,6,6,4,12,33.3,8,185,46,24.9,22,71,92,15,3,0,12,4,18,9,0,Matches
204,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23-140,1997,21.6,22,14,9,6,7,4,19,21.1,15,227,69,30.4,61,91,75,24,4,0,20,16,38,13,0,Matches
205,Marc Baró Ortiz\Marc-Baro-Ortiz,es ESP,DF,Cádiz,es La Liga,21-248,1999,1.0,2,1,2,0,0,0,2,0.0,2,13,2,15.4,8,5,0,2,0,0,2,3,5,1,1,Matches
206,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,es La Liga,33-320,1987,21.3,26,13,21,4,1,8,22,36.4,14,156,36,23.1,102,40,14,30,8,0,22,28,54,57,1,Matches
207,Antonio Barreca\Antonio-Barreca,it ITA,DF,Fiorentina,it Serie A,26-041,1995,0.9,0,0,0,0,0,0,1,0.0,1,6,1,16.7,3,1,2,2,0,0,2,0,0,0,0,Matches
208,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,21-115,2000,22.3,58,31,25,21,12,11,39,28.2,28,474,134,28.3,145,232,97,57,11,0,46,35,93,58,0,Matches
209,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,es La Liga,19-122,2001,12.6,26,18,8,11,7,7,26,26.9,19,259,72,27.8,64,111,84,26,1,0,25,8,34,7,0,Matches
210,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,de Bundesliga,26-162,1994,11.7,20,12,11,9,0,5,12,41.7,7,143,37,25.9,78,51,14,39,6,0,33,21,41,34,0,Matches
211,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Bologna,it Serie A,22-165,1998,28.5,17,7,4,7,6,4,25,16.0,21,405,106,26.2,89,138,178,43,4,0,39,11,28,18,0,Matches
212,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,eng Premier League,29-341,1991,23.7,22,15,12,9,1,8,27,29.6,19,196,62,31.6,108,78,10,60,29,1,31,20,42,174,2,Matches
213,Paolo Bartolomei\Paolo-Bartolomei,it ITA,MF,Spezia,it Serie A,31-250,1989,3.6,7,2,3,1,3,1,2,50.0,1,73,12,16.4,19,36,18,3,0,0,3,0,7,1,0,Matches
214,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,es La Liga,30-103,1991,14.8,25,9,13,11,1,8,19,42.1,11,177,60,33.9,87,80,10,24,5,0,19,21,46,74,2,Matches
215,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,29-047,1992,2.2,6,6,1,4,1,3,6,50.0,3,44,14,31.8,14,18,12,1,0,0,1,2,8,2,0,Matches
216,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,eng Premier League,32-282,1988,23.6,65,42,39,20,6,30,54,55.6,24,312,95,30.4,160,108,44,42,11,4,31,35,100,93,1,Matches
217,Toma Bašić\Toma-Basic,hr CRO,MF,Bordeaux,fr Ligue 1,24-154,1996,26.0,29,21,13,14,2,8,47,17.0,39,439,107,24.4,143,229,67,25,4,0,21,21,50,41,0,Matches
218,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Inter,it Serie A,22-015,1999,28.6,43,26,17,23,3,16,26,61.5,10,275,81,29.5,131,114,30,43,18,0,25,32,75,75,1,Matches
219,Simone Bastoni\Simone-Bastoni,it ITA,DF,Spezia,it Serie A,24-174,1996,15.2,52,28,29,18,5,24,44,54.5,20,234,69,29.5,88,107,39,16,1,0,15,19,71,31,0,Matches
220,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,30-032,1991,0.7,4,2,2,1,1,0,1,0.0,1,23,9,39.1,15,7,1,3,0,0,3,0,4,1,0,Matches
221,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,27-208,1993,7.9,3,3,1,2,0,2,9,22.2,7,102,21,20.6,8,50,44,10,1,0,9,2,5,5,1,Matches
222,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,es La Liga,29-290,1991,24.5,46,27,20,22,4,14,43,32.6,29,428,120,28.0,166,222,40,39,14,0,25,14,60,49,0,Matches
223,Cristian Battocchio\Cristian-Battocchio,it ITA,MFFW,Brest,fr Ligue 1,29-077,1992,3.9,5,3,1,4,0,2,8,25.0,6,51,10,19.6,9,33,9,2,0,0,2,3,8,5,0,Matches
224,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,30-330,1990,30.0,0,0,0,0,0,0,0,,0,5,1,20.0,5,0,0,0,0,0,0,0,0,2,0,Matches
225,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,33-116,1988,11.9,46,28,18,25,3,16,34,47.1,18,198,83,41.9,57,115,26,20,0,0,20,17,63,19,0,Matches
226,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,21-270,1999,25.3,51,36,20,21,10,13,58,22.4,45,549,175,31.9,117,274,158,44,9,0,35,19,70,19,0,Matches
227,Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,es La Liga,25-299,1995,3.1,5,4,0,3,2,0,4,0.0,4,50,13,26.0,4,23,23,5,2,0,3,0,5,1,0,Matches
228,Paul Baysse\Paul-Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,32-345,1988,27.7,29,21,18,9,2,8,18,44.4,10,213,84,39.4,128,76,9,38,21,0,17,36,65,155,3,Matches
229,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Augsburg,de Bundesliga,24-250,1996,0.4,1,1,0,1,0,1,1,100.0,0,10,3,30.0,1,9,0,1,0,0,1,2,3,0,0,Matches
230,Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,27-005,1994,21.5,28,18,8,12,8,8,13,61.5,5,309,93,30.1,33,121,155,23,6,0,17,7,35,15,0,Matches
231,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,Udinese,it Serie A,25-099,1996,26.9,60,30,35,22,3,16,38,42.1,22,359,125,34.8,222,112,25,44,22,0,22,38,98,105,2,Matches
232,Sheraldo Becker\Sheraldo-Becker,nl NED,FWMF,Union Berlin,de Bundesliga,26-078,1995,11.9,8,7,3,3,2,3,5,60.0,2,118,35,29.7,18,58,42,10,0,0,10,5,13,5,0,Matches
233,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,de Bundesliga,24-034,1997,14.2,27,15,23,4,0,10,19,52.6,9,199,66,33.2,99,81,19,35,5,0,30,20,47,34,1,Matches
234,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,eng Premier League,25-016,1996,30.9,42,25,27,14,1,20,46,43.5,26,250,87,34.8,149,92,9,53,23,1,30,70,112,195,1,Matches
235,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,eng Premier League,24-010,1997,3.8,9,7,3,4,2,1,7,14.3,6,69,17,24.6,9,40,20,9,1,0,8,5,14,4,0,Matches
236,Valon Behrami\Valon-Behrami,ch SUI,MF,Genoa,it Serie A,36-009,1985,8.0,15,8,4,10,1,5,15,33.3,10,236,48,20.3,87,121,28,18,0,0,18,5,20,12,0,Matches
237,Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,de Bundesliga,29-186,1991,0.9,2,1,0,2,0,0,1,0.0,1,13,3,23.1,5,8,0,0,0,0,0,0,2,1,0,Matches
238,Maximilian Beier\Maximilian-Beier,de GER,FWDF,Hoffenheim,de Bundesliga,18-193,2002,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0,Matches
239,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,de Bundesliga,29-106,1992,6.6,3,2,1,0,2,0,1,0.0,1,54,13,24.1,5,13,36,3,1,0,2,0,3,4,0,Matches
240,Haris Belkebla\Haris-Belkebla,dz ALG,MF,Brest,fr Ligue 1,27-090,1994,26.9,69,46,35,30,4,20,67,29.9,47,529,144,27.2,205,271,53,47,8,0,39,33,102,38,0,Matches
241,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,de Bundesliga,29-247,1991,12.7,23,16,18,5,0,9,18,50.0,9,117,52,44.4,67,44,6,19,10,0,9,32,55,117,1,Matches
