,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
77,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,25-017,1996,2.7,5,3,4,0,1,2,5,40.0,3,77,16,20.8,12,36,29,2,0,0,2,4,9,2,0,Matches
78,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,27-077,1994,22.3,42,25,19,20,3,14,47,29.8,33,402,97,24.1,132,163,107,30,2,1,28,24,66,22,1,Matches
79,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,30-121,1990,9.6,12,7,4,5,3,3,17,17.6,14,128,41,32.0,57,44,27,20,1,0,19,9,21,36,0,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,29-095,1992,17.0,38,23,8,26,4,6,26,23.1,20,331,97,29.3,90,207,34,35,5,0,30,12,50,38,0,Matches
81,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,26-094,1995,18.6,23,16,12,10,1,6,17,35.3,11,131,42,32.1,74,51,6,25,6,0,19,34,57,110,0,Matches
82,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,39-152,1981,15.1,14,5,10,4,0,7,12,58.3,5,113,33,29.2,76,33,4,24,14,0,10,12,26,77,0,Matches
83,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,22-232,1998,8.2,17,13,11,3,3,2,6,33.3,4,125,48,38.4,36,57,32,15,1,0,14,5,22,9,1,Matches
84,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,28-022,1993,16.6,44,30,15,27,2,8,30,26.7,22,400,112,28.0,144,223,33,18,5,0,13,29,73,36,0,Matches
85,Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,31-244,1989,1.3,2,1,2,0,0,2,5,40.0,3,13,2,15.4,9,2,2,2,1,0,1,1,3,1,0,Matches
86,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,es La Liga,19-159,2001,0.5,0,0,0,0,0,0,0,,0,4,1,25.0,1,2,1,4,0,0,4,0,0,1,0,Matches
87,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,26-128,1994,8.0,12,6,7,3,2,7,12,58.3,5,62,24,38.7,37,22,3,19,5,1,14,12,24,42,0,Matches
