,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
10,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,25-226,1995,12.0,736,119,450,308,23,14,717,5,6,83.3,5,0,386,2482,1392,16,1,0,2,1,402,391,97.3,0,Matches
11,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-287,1986,13.6,793,55,322,422,100,8,738,3,6,50.0,4,0,435,2311,1261,44,9,0,3,0,473,454,96.0,8,Matches
12,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,23-208,1997,11.4,350,19,37,164,166,66,341,6,19,31.6,6,2,176,709,252,13,5,4,26,12,485,250,51.5,96,Matches
13,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,31-032,1990,0.7,31,3,11,14,7,0,31,0,0,,0,0,14,56,29,0,0,0,0,2,21,17,81.0,0,Matches
14,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,27-030,1994,4.7,272,8,33,158,111,7,270,5,11,45.5,6,0,205,1385,585,27,14,1,7,12,232,198,85.3,14,Matches
15,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,33-077,1988,28.3,2109,319,1090,1017,182,17,2014,8,9,88.9,8,0,1256,8598,4438,104,30,1,13,7,1383,1344,97.2,21,Matches
16,Ragnar Ache\Ragnar-Ache,de GER,FWMF,Eint Frankfurt,de Bundesliga,22-274,1998,0.9,42,1,2,27,15,8,42,0,0,,0,0,16,26,18,1,1,0,5,3,62,30,48.4,9,Matches
17,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,es La Liga,29-182,1991,22.5,1713,65,605,787,419,25,1487,32,49,65.3,34,5,1087,5037,3214,109,30,6,29,30,1198,1121,93.6,51,Matches
18,Che Adams\Che-Adams,sco SCO,FW,Southampton,eng Premier League,24-289,1996,25.3,828,16,76,369,430,95,819,21,40,52.5,24,0,544,2148,990,59,23,9,68,47,1279,634,49.6,172,Matches
19,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,22-073,1999,20.6,1615,57,394,961,372,20,1520,18,20,90.0,18,0,1067,5237,2594,106,34,4,19,31,1188,1088,91.6,47,Matches
20,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-340,1993,2.9,136,2,11,47,88,32,135,2,6,33.3,3,1,99,504,240,8,6,1,15,7,160,108,67.5,33,Matches
21,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-216,1997,28.0,1833,382,1097,760,63,31,1787,8,9,88.9,8,0,1070,4839,2761,40,6,0,4,8,1241,1204,97.0,4,Matches
22,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,22-073,1999,0.4,18,1,2,8,11,4,18,1,2,50.0,2,0,15,88,61,3,2,1,4,0,14,12,85.7,4,Matches
23,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20-273,2000,23.0,1698,46,354,1096,373,18,1651,50,73,68.5,52,2,1238,6220,3535,143,44,7,28,36,1380,1282,92.9,31,Matches
