,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
10,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-107,1997,34.0,47,6,1,6,1,45.0,0.26,-1.0,-0.03,242,583,41.5,914,168,46.0,39.2,244,66.8,48.1,353,29,8.2,14,0.41,12.6,Matches
11,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-082,1992,30.0,46,5,0,5,0,45.6,0.30,-0.4,-0.01,262,518,50.6,864,143,39.5,35.9,283,62.5,43.3,302,23,7.6,20,0.67,13.3,Matches
12,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-133,2001,1.0,4,0,0,0,0,1.8,0.44,-2.2,-2.23,3,17,17.6,29,9,37.9,34.8,7,85.7,50.9,12,2,16.7,0,0.00,13.6,Matches
13,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,30-337,1990,30.0,49,6,0,3,2,46.9,0.33,-0.1,0.00,189,457,41.4,1116,172,33.8,33.3,199,40.2,35.5,270,11,4.1,35,1.17,15.1,Matches
14,Walter Benítez\Walter-Benitez,ar ARG,GK,Nice,fr Ligue 1,28-047,1993,35.0,47,7,0,11,0,42.6,0.24,-4.4,-0.13,119,323,36.8,846,158,26.4,29.8,284,35.2,34.2,334,25,7.5,13,0.37,12.3,Matches
15,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24-017,1997,35.0,53,5,0,6,1,45.2,0.33,-6.8,-0.19,166,481,34.5,666,196,44.4,39.1,253,73.1,52.7,303,21,6.9,10,0.29,12.9,Matches
16,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,22-333,1998,5.3,8,1,0,1,0,7.5,0.32,-0.5,-0.09,67,113,59.3,136,21,57.4,43.1,47,74.5,54.9,45,5,11.1,1,0.19,11.9,Matches
17,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,25-284,1995,18.2,27,1,1,2,0,22.8,0.37,-4.2,-0.23,111,298,37.2,520,81,40.2,36.2,144,61.8,46.3,149,9,6.0,12,0.66,14.9,Matches
18,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,30-030,1991,30.0,22,4,0,3,2,22.1,0.22,+2.1,+0.07,182,391,46.5,828,127,34.7,35.2,178,58.4,45.0,263,27,10.3,20,0.67,15.6,Matches
19,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,es La Liga,38-022,1983,16.0,21,3,0,2,1,22.1,0.34,+2.1,+0.13,110,278,39.6,434,70,50.2,41.7,95,63.2,49.5,135,9,6.7,5,0.31,12.1,Matches
20,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,43-097,1978,7.0,4,2,1,0,0,4.1,0.16,+0.1,+0.01,25,55,45.5,216,38,21.3,28.8,51,17.6,23.3,68,2,2.9,5,0.71,13.9,Matches
21,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,30-172,1990,16.0,26,2,0,5,0,20.6,0.27,-5.4,-0.34,72,162,44.4,442,86,29.4,31.7,87,36.8,35.7,94,7,7.4,5,0.31,13.8,Matches
22,David Button\David-Button,eng ENG,GK,West Brom,eng Premier League,32-067,1989,1.0,2,0,0,1,0,1.7,0.24,-0.3,-0.31,8,29,27.6,25,2,68.0,49.2,12,100.0,67.0,10,1,10.0,0,0.00,10.0,Matches
23,Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,21-213,1999,1.0,1,0,0,0,0,1.3,0.45,+0.3,+0.32,2,5,40.0,28,9,17.9,25.5,2,0.0,21.5,7,0,0.0,2,2.00,13.1,Matches
24,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,39-219,1981,1.0,3,0,0,1,0,1.5,0.49,-1.5,-1.54,1,3,33.3,20,2,15.0,24.6,6,0.0,19.7,8,0,0.0,2,2.00,22.0,Matches
25,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Metz,fr Ligue 1,26-358,1994,4.0,10,3,1,1,0,9.2,0.33,-0.8,-0.20,17,48,35.4,71,27,35.2,33.2,30,76.7,59.7,29,4,13.8,2,0.50,14.6,Matches
26,Cárdenas\Cardenas,es ESP,GK,Levante,es La Liga,24-038,1997,5.0,5,0,0,0,0,7.9,0.27,+2.9,+0.59,31,66,47.0,118,22,42.4,36.2,38,42.1,36.3,62,3,4.8,3,0.60,14.1,Matches
27,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,eng Premier League,34-215,1986,1.0,1,0,0,0,0,1.0,0.52,0.0,+0.04,5,6,83.3,23,10,13.0,22.9,10,30.0,34.1,8,2,25.0,0,0.00,14.7,Matches
28,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28-314,1992,30.0,31,2,1,3,1,31.4,0.31,+1.4,+0.05,225,500,45.0,973,151,39.0,36.6,184,65.8,51.3,240,21,8.8,32,1.07,15.6,Matches
